section,name
I,live animals; animal products
II,Vegetable products
III,Animal or vegetable fats and oils and their cleavage products; prepared edible fats; animal or vegetable waxes
IV,"Prepared foodstuffs; beverages, spirits and vinegar; tobacco and manufactured tobacco substitutes"
V,Mineral products
VI,Products of the chemical or allied industries
VII,Plastics and articles thereof; rubber and articles thereof 
VIII,"Raw hides and skins, leather, furskins and articles thereof; saddlery and harness; travel goods, handbags and similar containers; articles of animal gut (other than silk-worm gut)"
IX,"Wood and articles of wood; wood charcoal; cork and articles of cork; manufactures of straw, of esparto or of other plaiting materials; basketware and wickerwork"
X,Pulp of wood or of other fibrous cellulosic material; recovered (waste and scrap) paper or paperboard; paper and paperboard and articles thereof
XI,Textiles and textile articles
XII,"Footwear, headgear, umbrellas, sun umbrellas, walking-sticks, seat-sticks, whips, riding-crops and parts thereof; prepared feathers and articles made therewith; artificial flowers; articles of human hair"
XIII,"Articles of stone, plaster, cement, asbestos, mica or similar materials; ceramic products; glass and glassware"
XIV,"Natural or cultured pearls, precious or semi-precious stones, precious metals, metals clad with precious metal and articles thereof; imitation jewellery; coin"
XV,Base metals and articles of base metal
XVI,"Machinery and mechanical appliances; electrical equipment; parts thereof; sound recorders and reproducers, television image and sound recorders and reproducers, and parts and accessories of such articles"
XVII,"Vehicles, aircraft, vessels and associated transport equipment"
XVIII,"Optical, photographic, cinematographic, measuring, checking, precision, medical or surgical instruments and apparatus; clocks and watches; musical instruments; parts and accessories thereof"
XIX,Arms and ammunition; parts and accessories thereof
XX,Miscellaneous manufactured articles
XXI,"Works of art, collectors' pieces and antiques"